Meeting Time: Donnerstag, 29. Januar 2026 08:59-09:59
Participants: ds@winwin.global
Location: Zoom-Meeting

[00:00]  Dominique Stalder: "Programmierung, was wir so mitkriegen, die in."
[00:02]  Juliane Hoffmann: "Uns ist Und ich habe es ein."
[00:05]  Dominique Stalder: "Bisschen anders gemeint und zwar dein Job ist ja im Grunde eigentlich, dass du deinen Kunden Struktur und Strategie mit gibst. Ja oder Und das Spannende ist jetzt bei der ganzen KI Geschichte da ja gibt Tools, gibt Funktionen und so weiter, aber das Essentielle dabei ist im Grunde die Strategie dahinter, die Prozesse zu verstehen, Systeme zu bauen, die ineinandergreifen."
[00:35]  Juliane Hoffmann: "Ja."
[00:38]  Dominique Stalder: "Und nur wenn das ganz ganz klar ist, dann funktioniert das. Also wenn du KI als, ich nenne den neuen Mitarbeiter jetzt mal Karl Ingo, der ist irrsinnig motiviert, er ist sehr kreativ, ab und zu zu kreativ, er findet dann auch mal was, ist felsenfest davon überzeugt, braucht ganz klare Anweisungen, was er zu tun hat, dementsprechend auch den Kontext, dass der am Schluss genau das tut oder tun kann, was denn seine Aufgabe ist. Er muss wissen was, er muss wissen wie und so weiter Und ich denke dieses Denken bei dir, weil durch die Arbeit, die du machst und was ich da jetzt gesehen habe, ist prinzipiell eigentlich."
[01:29]  Juliane Hoffmann: "Sehr stark, da gebe ich dir recht. Ich habe auch, ist dir wahrscheinlich auch ein Begriff beim AI Trainings Institute, ja der Raphael Schad heißt der Raphael Schad, ich weiß es ehrlicherweise nicht mehr, habe ich auch einen Kurs belegt gehabt zum Thema ChatGPT. Ich habe ein Agent mitgebaut in so einem Workshop, das war so eine Challenge, also ChatGPT als solches, um zu verstehen mit den Zeichen, wie soll ich prompten, wie sieht ein Frame aus, weiß ich schon gar nicht mehr Und dann eben so ein Agent, da muss ich ehrlicherweise gestehen, das ist der Moment, wo ich ausgestiegen bin, weil das ist nicht mein Tagesgeschäft. Ich werde bei Kunden keine Agents bauen, das ist mir zu hart das Programm. Ich weiß nicht mal auf Tastendruck, wie ich eine eckige Klammer setze, das müsste ich googeln und dann per Copy Paste irgendwo reinsetzen. Aber ich habe das System verstanden und das ist das Interessante dabei und ich habe jetzt gerade aktuell den Fall gestern 3 Stunden, 4 Stunden fast insgesamt mit einer Praxis im Gespräch gewesen, erst drei Stunden mit dem Inhaber, dann eine Stunde der Empfang. Habe das natürlich über Zoom AI Companion ja super aufgenommen, also ist transkribiert, kriegst du dann von Zoom, kennst du ja auch die Zusammenfassung."
[02:44]  Dominique Stalder: "Ja, bin ich nicht begeistert."
[02:46]  Juliane Hoffmann: "Ja genau. Also der Jan sagte mir, dass das über Sally viel besser läuft. Ja, genau. Und das ist der Punkt, weil das ist das, was es jetzt für mich schwierig macht. Die Zoom Zusammenfassung, die ist definitiv schon besser als viele andere Zusammenfassungen. Das muss man auch an der Stelle sagen. Die ist nicht schlecht, aber ich denke, das geht besser und das würde mir die Arbeit unheimlich vereinfachen, weil jetzt Überraschung. Genau in dieser Praxis, wir kümmern uns gerade um Terminmanagement. Wir müssen wirklich anfangen zu sortieren, zu priorisieren."
[03:18]  Dominique Stalder: "Darf ich da noch ganz kurz Hast du die Aufzeichnung auch wie aufgezeichnet?"
[03:24]  Juliane Hoffmann: "Nein, Schade."
[03:25]  Dominique Stalder: "Dann hätten wir nämlich das Originaltranskript noch rausziehen können."
[03:29]  Juliane Hoffmann: "Ne, das habe ich tatsächlich nicht. Okay, aber worauf ich hinaus möchte, ist, dass im Laufe des Gesprächs mit dem Inhaber das Thema Terminmanagement ins Abseits rückte und eigentlich die große Palette der Journey für die gesamte Digitalisierung, die haben schon viel, aber es muss sortiert, priorisiert werden und die Mitarbeiter müssen mitgenommen werden. Ja, das ist ja ein Change auch für die Mitarbeiter. Und das kann man ja nur phasenweise machen, Step by Step, Schritt für Schritt, mit viel Verständnis gibt unterschiedliche Kompetenzen, unterschiedliche Persönlichkeiten und so weiter. Und das möchte ich gerne, wenn ich dann meine Gespräche geführt habe, direkt auch in Form gießen und okay, wir haben gerade unsere Prio Termin Management, aber unser Gespräch war wertvoll. Warum sollen wir das verpuffen lassen? Ich baue daraus zumindest schon mal einen groben Fahrplan für das weitere Digitalisierungskonzept deiner Praxis."
[04:23]  Dominique Stalder: "Genau. Und das, was du jetzt ansprichst. Warte, ich mag das ein bisschen visuell. Machen. Wir es denn?"
[04:49]  Juliane Hoffmann: "Aber kann man aus Zoom nicht das Original Transkript trotzdem ziehen?"
